"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LIPT2",11.4674144401779,-0.946965657559975,1.51612580036026,-0.624595701316446,0.532236441713369,0.999972696140104
"AP001372.2",6.4546660645447,0.727332710279459,2.13304845341925,0.340982741912662,0.733116573973967,0.999972696140104
"POLD3",22.9995455434387,0.349147445381918,1.18102396671836,0.295631126226906,0.767511800285039,0.999972696140104
"RNF169",79.8374354259609,-0.580427775674835,0.687258690982689,-0.844555017332557,0.398359333231366,0.999972696140104
"XRRA1",47.1435823672158,0.153111417301177,0.844830885927477,0.181233214660573,0.856184524730601,0.999972696140104
"AP001992.2",1.17896736109278,-0.947680417347383,4.21570839464634,-0.224797431091503,0.822136864628702,0.999972696140104
"SPCS2",875.17597789346,0.279902878169723,0.516957863707454,0.541442345343874,0.58820272676444,0.999972696140104
"NEU3",22.8304084923237,-0.170261923028112,1.1153182125111,-0.152657708910512,0.878668213161943,0.999972696140104
"ARRB1",6.55462589630635,-3.25402334266496,2.27176958700139,-1.43237384692701,0.15203685912919,0.999972696140104
"KLHL35",2.44365178277412,0.702319988573505,3.15530143821728,0.222584118292771,0.823859198149033,0.999972696140104
"GDPD5",8.8006126447236,-3.93213969572921,1.7596048362234,-2.23467202111622,0.0254388887495188,0.999972696140104
"SERPINH1",21.3352830421961,-0.86779581352372,1.14708865452085,-0.756520265546702,0.449337326683579,0.999972696140104
"AP001922.5",0.632208863482271,-1.62239022296027,4.76162195880637,-0.340722181852288,0.733312738129542,0.999972696140104
"DGAT2",17.8436840926464,-0.555898963779266,1.25846162811801,-0.441728973978012,0.658685340568764,0.999972696140104
"UVRAG",529.501663467836,1.02105638811837,0.482396281507295,2.11663403566872,0.0342909191813864,0.999972696140104
"AP003168.2",1.09991902859777,-1.16184382514537,4.33687748169668,-0.267898696711818,0.788777296917055,0.999972696140104
"WNT11",29.9535773310275,-0.178944258313795,1.10453760008658,-0.162008299490908,0.871299318165248,0.999972696140104
"THAP12",119.709178223157,-0.0556733140289749,0.644092828661788,-0.0864367860524788,0.931119205302892,0.999972696140104
"GVQW3",6.90993798825988,-0.745890946577041,1.9245234936329,-0.387571754278266,0.698332974985997,0.999972696140104
"AP002360.1",31.0370604694975,0.389199149064454,0.995897610023154,0.390802372801563,0.695943320938841,0.999972696140104
"EMSY",64.2528032350031,-0.32910465900479,0.748623700497719,-0.439612930750104,0.660217473742771,0.999972696140104
"AP001189.1",0.447851652566163,0.0804552519399202,4.81700202973012,0.0167023496032091,0.986674072710967,0.999972696140104
"LRRC32",1.41596419484628,-1.65960195082708,3.90207021922504,-0.425313194685841,0.670608376105338,0.999972696140104
"ACER3",27.401381288558,-0.387543897513303,1.07898976588484,-0.359172913188376,0.719465738645004,0.999972696140104
"CAPN5",2.76621800538489,-3.78637383866288,3.02535092672823,-1.25154864026226,0.210734379307444,0.999972696140104
"PAK1",131.071908452066,0.271627022501834,0.600091014767348,0.452643042167766,0.650805799750106,0.999972696140104
"AP003680.1",6.24408305664755,0.470893228907924,2.08463167283128,0.225887975820866,0.821288550047487,0.999972696140104
"CLNS1A",230.038850148672,0.586189550620081,0.522941168475328,1.12094741427446,0.262310246767358,0.999972696140104
"AQP11",1.67948826924265,-0.00314385711294918,3.62089749728895,-0.00086825355186195,0.999307233983149,0.999972696140104
"RSF1",287.446450359095,0.179602300696121,0.49511371587746,0.362749596580702,0.716791946846241,0.999972696140104
"RSF1-IT2",2.11462986949298,-4.53573546400623,3.77479879190058,-1.20158337279813,0.229524986701198,0.999972696140104
"AAMDC",20.6165647259255,0.829162810138357,1.24565936095281,0.66564169638169,0.505640148190341,0.999972696140104
"INTS4",26.557383150531,-0.0377798645266023,1.05307499434602,-0.0358757588295642,0.971381425072995,0.999972696140104
"NDUFC2",574.742190592073,0.0272289562149061,0.465379415436062,0.0585091547063645,0.953343070587443,0.999972696140104
"ALG8",39.3957095059469,-0.246206488472281,0.894944603354239,-0.275108076577592,0.783233206702699,0.999972696140104
"KCTD21-AS1",5.03912184434549,1.44222387448304,2.50526325188397,0.575677575359987,0.564833135351808,0.999972696140104
"KCTD21",3.74111780674379,-1.21404524423936,2.64959521128038,-0.458200271147339,0.646808565102868,0.999972696140104
